"k1","k2","h0"
-20,-20,0
-20,-19,0
-20,-18,0
-20,-17,0
-20,-16,0
-20,-15,0
-20,-14,0
-20,-13,0
-20,-12,0
-20,-11,0
-20,-10,0
-20,-9,0
-20,-8,0
-20,-7,0
-20,-6,0
-20,-5,0
-20,-4,0
-20,-3,0
-20,-2,0
-20,-1,0
-20,0,0
-20,1,0
-20,2,0
-20,3,0
-20,4,0
-20,5,0
-20,6,0
-20,7,0
-20,8,0
-20,9,0
-20,10,0
-20,11,0
-20,12,0
-20,13,0
-20,14,0
-20,15,0
-20,16,0
-20,17,0
-20,18,0
-20,19,0
-20,20,0
-19,-20,0
-19,-19,0
-19,-18,0
-19,-17,0
-19,-16,0
-19,-15,0
-19,-14,0
-19,-13,0
-19,-12,0
-19,-11,0
-19,-10,0
-19,-9,0
-19,-8,0
-19,-7,0
-19,-6,0
-19,-5,0
-19,-4,0
-19,-3,0
-19,-2,0
-19,-1,0
-19,0,0
-19,1,0
-19,2,0
-19,3,0
-19,4,0
-19,5,0
-19,6,0
-19,7,0
-19,8,0
-19,9,0
-19,10,0
-19,11,0
-19,12,0
-19,13,0
-19,14,0
-19,15,0
-19,16,0
-19,17,0
-19,18,0
-19,19,0
-19,20,0
-18,-20,0
-18,-19,0
-18,-18,0
-18,-17,0
-18,-16,0
-18,-15,0
-18,-14,0
-18,-13,0
-18,-12,0
-18,-11,0
-18,-10,0
-18,-9,0
-18,-8,0
-18,-7,0
-18,-6,0
-18,-5,0
-18,-4,0
-18,-3,0
-18,-2,0
-18,-1,0
-18,0,0
-18,1,0
-18,2,0
-18,3,0
-18,4,0
-18,5,0
-18,6,0
-18,7,0
-18,8,0
-18,9,0
-18,10,0
-18,11,0
-18,12,0
-18,13,0
-18,14,0
-18,15,0
-18,16,0
-18,17,0
-18,18,0
-18,19,0
-18,20,0
-17,-20,0
-17,-19,0
-17,-18,0
-17,-17,0
-17,-16,0
-17,-15,0
-17,-14,0
-17,-13,0
-17,-12,0
-17,-11,0
-17,-10,0
-17,-9,0
-17,-8,0
-17,-7,0
-17,-6,0
-17,-5,0
-17,-4,0
-17,-3,0
-17,-2,0
-17,-1,0
-17,0,0
-17,1,0
-17,2,0
-17,3,0
-17,4,0
-17,5,0
-17,6,0
-17,7,0
-17,8,0
-17,9,0
-17,10,0
-17,11,0
-17,12,0
-17,13,0
-17,14,0
-17,15,0
-17,16,0
-17,17,0
-17,18,0
-17,19,0
-17,20,0
-16,-20,0
-16,-19,0
-16,-18,0
-16,-17,0
-16,-16,0
-16,-15,0
-16,-14,0
-16,-13,0
-16,-12,0
-16,-11,0
-16,-10,0
-16,-9,0
-16,-8,0
-16,-7,0
-16,-6,0
-16,-5,0
-16,-4,0
-16,-3,0
-16,-2,0
-16,-1,0
-16,0,0
-16,1,0
-16,2,0
-16,3,0
-16,4,0
-16,5,0
-16,6,0
-16,7,0
-16,8,0
-16,9,0
-16,10,0
-16,11,0
-16,12,0
-16,13,0
-16,14,0
-16,15,0
-16,16,0
-16,17,0
-16,18,0
-16,19,0
-16,20,0
-15,-20,0
-15,-19,0
-15,-18,0
-15,-17,0
-15,-16,0
-15,-15,0
-15,-14,0
-15,-13,0
-15,-12,0
-15,-11,0
-15,-10,0
-15,-9,0
-15,-8,0
-15,-7,0
-15,-6,0
-15,-5,0
-15,-4,0
-15,-3,0
-15,-2,0
-15,-1,0
-15,0,0
-15,1,0
-15,2,0
-15,3,0
-15,4,0
-15,5,0
-15,6,0
-15,7,0
-15,8,0
-15,9,0
-15,10,0
-15,11,0
-15,12,0
-15,13,0
-15,14,0
-15,15,0
-15,16,0
-15,17,0
-15,18,0
-15,19,0
-15,20,0
-14,-20,0
-14,-19,0
-14,-18,0
-14,-17,0
-14,-16,0
-14,-15,0
-14,-14,0
-14,-13,0
-14,-12,0
-14,-11,0
-14,-10,0
-14,-9,0
-14,-8,0
-14,-7,0
-14,-6,0
-14,-5,0
-14,-4,0
-14,-3,0
-14,-2,0
-14,-1,0
-14,0,0
-14,1,0
-14,2,0
-14,3,0
-14,4,0
-14,5,0
-14,6,0
-14,7,0
-14,8,0
-14,9,0
-14,10,0
-14,11,0
-14,12,0
-14,13,0
-14,14,0
-14,15,0
-14,16,0
-14,17,0
-14,18,0
-14,19,0
-14,20,0
-13,-20,0
-13,-19,0
-13,-18,0
-13,-17,0
-13,-16,0
-13,-15,0
-13,-14,0
-13,-13,0
-13,-12,0
-13,-11,0
-13,-10,0
-13,-9,0
-13,-8,0
-13,-7,0
-13,-6,0
-13,-5,0
